iter	Passed	Remaining
0	183	183065
1	224	111819
2	266	88490
3	309	77180
4	354	70515
5	398	65961
6	443	62956
7	487	60391
8	530	58453
9	573	56811
10	615	55349
11	656	54091
12	697	52982
13	739	52054
14	781	51350
15	824	50708
16	867	50159
17	909	49619
18	950	49094
19	992	48648
20	1034	48240
21	1076	47875
22	1119	47545
23	1161	47244
24	1203	46953
25	1246	46679
26	1287	46381
27	1329	46143
28	1370	45898
29	1414	45728
30	1457	45554
31	1501	45429
32	1546	45326
33	1562	44390
34	1605	44264
35	1650	44188
36	1692	44042
37	1735	43932
38	1778	43823
39	1822	43743
40	1865	43639
41	1908	43527
42	1950	43416
43	1993	43315
44	2036	43213
45	2079	43118
46	2122	43029
47	2131	42265
48	2174	42198
49	2218	42150
50	2261	42088
51	2305	42031
52	2347	41943
53	2391	41900
54	2434	41820
55	2476	41739
56	2518	41661
57	2552	41461
58	2595	41393
59	2637	41313
60	2680	41263
61	2728	41277
62	2739	40746
63	2764	40431
64	2806	40376
65	2848	40304
66	2890	40246
67	2931	40184
68	2975	40148
69	3018	40099
70	3059	40032
71	3075	39635
72	3117	39589
73	3159	39538
74	3201	39489
75	3244	39441
76	3286	39397
77	3330	39365
78	3372	39313
79	3416	39286
80	3458	39241
81	3501	39205
82	3544	39159
83	3585	39098
84	3627	39052
85	3672	39027
86	3715	38988
87	3756	38933
88	3798	38884
89	3842	38850
90	3885	38811
91	3894	38432
92	3936	38391
93	3980	38364
94	4022	38316
95	4065	38279
96	4107	38237
97	4148	38187
98	4190	38139
99	4233	38100
100	4275	38055
101	4317	38012
102	4360	37976
103	4402	37927
104	4443	37875
105	4485	37829
106	4527	37787
107	4570	37752
108	4612	37706
109	4653	37652
110	4697	37624
111	4741	37589
112	4786	37568
113	4828	37528
114	4870	37480
115	4911	37430
116	4952	37375
117	4994	37335
118	5037	37292
119	5078	37245
120	5120	37198
121	5160	37139
122	5202	37092
123	5242	37039
124	5284	36993
125	5328	36961
126	5374	36945
127	5419	36921
128	5463	36887
129	5505	36843
130	5546	36792
131	5589	36757
132	5632	36714
133	5675	36679
134	5721	36657
135	5764	36620
136	5805	36573
137	5847	36525
138	5892	36496
139	5936	36468
140	5978	36422
141	6020	36377
142	6061	36327
143	6105	36291
144	6146	36245
145	6189	36204
146	6231	36160
147	6272	36109
148	6313	36060
149	6355	36014
150	6396	35963
151	6437	35915
152	6479	35870
153	6522	35828
154	6563	35783
155	6606	35744
156	6650	35711
157	6693	35669
158	6735	35624
159	6775	35572
160	6817	35525
161	6860	35486
162	6904	35456
163	6948	35421
164	6992	35388
165	7036	35353
166	7080	35316
167	7122	35274
168	7164	35227
169	7206	35187
170	7249	35147
171	7292	35104
172	7335	35064
173	7378	35026
174	7420	34984
175	7462	34938
176	7505	34900
177	7547	34856
178	7589	34811
179	7630	34760
180	7672	34717
181	7715	34677
182	7758	34639
183	7800	34594
184	7841	34544
185	7884	34503
186	7925	34458
187	7969	34420
188	8011	34378
189	8053	34334
190	8093	34281
191	8134	34233
192	8177	34193
193	8218	34146
194	8260	34100
195	8302	34056
196	8345	34019
197	8387	33975
198	8430	33935
199	8473	33894
200	8514	33847
201	8556	33803
202	8598	33759
203	8642	33722
204	8682	33672
205	8724	33628
206	8766	33584
207	8807	33537
208	8849	33490
209	8891	33449
210	8932	33401
211	8975	33360
212	9017	33319
213	9059	33273
214	9101	33230
215	9144	33190
216	9184	33141
217	9226	33096
218	9267	33049
219	9310	33010
220	9352	32966
221	9395	32925
222	9438	32887
223	9481	32846
224	9523	32802
225	9565	32760
226	9607	32716
227	9649	32673
228	9691	32628
229	9733	32586
230	9775	32543
231	9818	32502
232	9860	32457
233	9902	32416
234	9944	32373
235	9986	32328
236	10028	32286
237	10072	32248
238	10117	32214
239	10160	32174
240	10203	32135
241	10246	32094
242	10288	32049
243	10330	32007
244	10375	31972
245	10419	31937
246	10461	31893
247	10502	31847
248	10544	31803
249	10585	31756
250	10629	31719
251	10673	31680
252	10715	31638
253	10790	31690
254	10840	31672
255	10885	31635
256	10927	31590
257	10968	31545
258	11009	31499
259	11052	31457
260	11094	31414
261	11139	31378
262	11182	31337
263	11225	31294
264	11268	31254
265	11310	31209
266	11352	31166
267	11394	31122
268	11435	31075
269	11477	31032
270	11520	30989
271	11561	30945
272	11603	30899
273	11643	30850
274	11684	30805
275	11727	30763
276	11768	30717
277	11810	30673
278	11852	30629
279	11893	30582
280	11935	30539
281	11977	30496
282	12018	30450
283	12060	30406
284	12101	30360
285	12144	30317
286	12188	30279
287	12230	30235
288	12271	30191
289	12313	30146
290	12357	30107
291	12401	30068
292	12441	30021
293	12483	29976
294	12525	29933
295	12568	29893
296	12609	29846
297	12651	29802
298	12692	29756
299	12733	29711
300	12774	29666
301	12816	29622
302	12859	29581
303	12901	29538
304	12944	29497
305	12985	29450
306	13026	29405
307	13068	29361
308	13109	29316
309	13152	29274
310	13194	29232
311	13238	29191
312	13280	29148
313	13321	29102
314	13363	29061
315	13407	29021
316	13449	28977
317	13492	28936
318	13534	28894
319	13577	28851
320	13617	28804
321	13660	28763
322	13702	28720
323	13745	28678
324	13787	28635
325	13829	28592
326	13872	28550
327	13913	28506
328	13956	28464
329	13998	28420
330	14040	28378
331	14082	28335
332	14126	28296
333	14170	28255
334	14211	28211
335	14254	28169
336	14297	28128
337	14340	28086
338	14384	28047
339	14428	28009
